  2.651E+00   9.109E-01   9.100E-01   2.153E+00   4.798E-01
  2.510E+00   8.569E-01   8.558E-01   2.042E+00   4.566E-01
  2.409E+00   8.181E-01   8.169E-01   1.962E+00   4.376E-01
  2.266E+00   7.634E-01   7.618E-01   1.848E+00   4.082E-01
  2.085E+00   6.946E-01   6.926E-01   1.702E+00   3.684E-01
  1.965E+00   6.496E-01   6.473E-01   1.604E+00   3.414E-01
  1.837E+00   6.023E-01   5.995E-01   1.499E+00   3.125E-01
  1.690E+00   5.491E-01   5.457E-01   1.378E+00   2.799E-01
  1.585E+00   5.116E-01   5.077E-01   1.291E+00   2.570E-01
  1.435E+00   4.592E-01   4.544E-01   1.167E+00   2.254E-01
  1.241E+00   3.934E-01   3.873E-01   1.007E+00   1.868E-01
  1.110E+00   3.500E-01   3.429E-01   8.992E-01   1.620E-01
  9.680E-01   3.039E-01   2.955E-01   7.833E-01   1.364E-01
  8.029E-01   2.513E-01   2.413E-01   6.504E-01   1.079E-01
  6.844E-01   2.141E-01   2.029E-01   5.565E-01   8.828E-02
  5.929E-01   1.854E-01   1.734E-01   4.848E-01   7.342E-02
  5.191E-01   1.624E-01   1.497E-01   4.277E-01   6.161E-02
  4.581E-01   1.434E-01   1.301E-01   3.810E-01   5.191E-02
  4.066E-01   1.273E-01   1.136E-01   3.422E-01   4.378E-02
  3.627E-01   1.136E-01   9.964E-02   3.096E-01   3.685E-02
  3.248E-01   1.017E-01   8.760E-02   2.820E-01   3.087E-02
  2.918E-01   9.139E-02   7.721E-02   2.587E-01   2.568E-02
  2.629E-01   8.236E-02   6.819E-02   2.391E-01   2.113E-02
  2.376E-01   7.444E-02   6.035E-02   2.229E-01   1.713E-02
  2.153E-01   6.747E-02   5.355E-02   2.100E-01   1.361E-02
  1.957E-01   6.138E-02   4.768E-02   2.004E-01   1.049E-02
  1.787E-01   5.609E-02   4.270E-02   1.946E-01   7.747E-03
  1.645E-01   5.166E-02   3.861E-02   1.937E-01   5.337E-03
  1.538E-01   4.827E-02   3.563E-02   2.003E-01   3.242E-03
  1.504E-01   4.705E-02   3.468E-02   2.109E-01   2.132E-03
  1.506E-01   4.688E-02   3.470E-02   2.232E-01   1.455E-03
  1.552E-01   4.784E-02   3.586E-02   2.445E-01   8.292E-04
  1.615E-01   4.932E-02   3.745E-02   2.626E-01   5.373E-04
  1.758E-01   5.282E-02   4.106E-02   2.944E-01   2.608E-04
  1.932E-01   5.712E-02   4.541E-02   3.261E-01   1.287E-04
  2.399E-01   6.879E-02   5.712E-02   3.969E-01   2.587E-05
  2.726E+00   9.284E-01   9.275E-01   2.234E+00   5.001E-01
  2.598E+00   8.880E-01   8.868E-01   2.136E+00   5.018E-01
  2.504E+00   8.557E-01   8.544E-01   2.063E+00   4.943E-01
  2.366E+00   8.066E-01   8.050E-01   1.954E+00   4.743E-01
  2.187E+00   7.403E-01   7.382E-01   1.809E+00   4.376E-01
  2.067E+00   6.949E-01   6.925E-01   1.711E+00   4.088E-01
  1.936E+00   6.459E-01   6.430E-01   1.603E+00   3.756E-01
  1.786E+00   5.896E-01   5.860E-01   1.479E+00   3.360E-01
  1.677E+00   5.494E-01   5.453E-01   1.388E+00   3.074E-01
